Model,Campus,Loss,TopK,Metric,Baseline(loss0),Value,AbsDiff,RelDiff(%)
NCL,campus_10,loss1,Top 3,Hit Ratio,0.21936,0.21436,-0.0050000000000000044,-2.2793581327498194
NCL,campus_10,loss1,Top 3,Precision,0.2713,0.26512,-0.006179999999999963,-2.277921120530764
NCL,campus_10,loss1,Top 3,Recall,0.2951,0.28926,-0.005839999999999956,-1.9789901728227575
NCL,campus_10,loss1,Top 3,NDCG,0.35428,0.34524,-0.009039999999999992,-2.5516540589364327
NCL,campus_10,loss1,Top 5,Hit Ratio,0.3037,0.29385,-0.009850000000000025,-3.2433322357589804
NCL,campus_10,loss1,Top 5,Precision,0.22537,0.21806,-0.007309999999999983,-3.243555042818469
NCL,campus_10,loss1,Top 5,Recall,0.38103,0.37076,-0.010270000000000001,-2.6953258273626752
NCL,campus_10,loss1,Top 5,NDCG,0.37445,0.3635,-0.010950000000000015,-2.9242889571371387
NCL,campus_10,loss1,Top 10,Hit Ratio,0.43715,0.42857,-0.008579999999999977,-1.9627130275649038
NCL,campus_10,loss1,Top 10,Precision,0.1622,0.15901,-0.0031899999999999984,-1.9667077681874219
NCL,campus_10,loss1,Top 10,Recall,0.49618,0.48949,-0.006690000000000029,-1.3483010197912106
NCL,campus_10,loss1,Top 10,NDCG,0.40873,0.4,-0.00872999999999996,-2.135884324615262
NCL,campus_10,loss1,Top 20,Hit Ratio,0.57673,0.56941,-0.007319999999999993,-1.269224767222096
NCL,campus_10,loss1,Top 20,Precision,0.10699,0.10564,-0.001350000000000004,-1.2618001682400262
NCL,campus_10,loss1,Top 20,Recall,0.60223,0.59235,-0.00988,-1.64056921774073
NCL,campus_10,loss1,Top 20,NDCG,0.44617,0.43706,-0.009110000000000007,-2.041822623663627
NCL,campus_10,loss2,Top 3,Hit Ratio,0.21936,0.21899,-0.0003700000000000092,-0.16867250182349072
NCL,campus_10,loss2,Top 3,Precision,0.2713,0.27084,-0.00045999999999996044,-0.16955399926279413
