Model,Campus,Loss,TopK,Metric,Baseline(loss0),Value,AbsDiff,RelDiff(%)
NCL,campus_15,loss1,Top 3,Hit Ratio,0.14958,0.14254,-0.007039999999999991,-4.706511565717336
NCL,campus_15,loss1,Top 3,Precision,0.24159,0.23021,-0.011380000000000001,-4.710459870027734
NCL,campus_15,loss1,Top 3,Recall,0.25113,0.24193,-0.009200000000000014,-3.663441245570029
NCL,campus_15,loss1,Top 3,NDCG,0.32487,0.31075,-0.014119999999999966,-4.346353926185849
NCL,campus_15,loss1,Top 5,Hit Ratio,0.21597,0.20659,-0.00938,-4.343195814233458
NCL,campus_15,loss1,Top 5,Precision,0.20929,0.2002,-0.009090000000000015,-4.343255769506434
NCL,campus_15,loss1,Top 5,Recall,0.32479,0.31289,-0.011900000000000022,-3.663905908433148
NCL,campus_15,loss1,Top 5,NDCG,0.34424,0.33063,-0.013610000000000011,-3.953636997443647
NCL,campus_15,loss1,Top 10,Hit Ratio,0.34683,0.334,-0.012830000000000008,-3.6992186373727782
NCL,campus_15,loss1,Top 10,Precision,0.16805,0.16183,-0.006220000000000003,-3.7012793811365685
NCL,campus_15,loss1,Top 10,Recall,0.43616,0.42522,-0.010940000000000005,-2.5082538517975066
NCL,campus_15,loss1,Top 10,NDCG,0.37056,0.3584,-0.012160000000000004,-3.2815198618307435
NCL,campus_15,loss1,Top 20,Hit Ratio,0.51416,0.50363,-0.010529999999999928,-2.0480006223743445
NCL,campus_15,loss1,Top 20,Precision,0.12456,0.12201,-0.0025500000000000106,-2.047206165703284
NCL,campus_15,loss1,Top 20,Recall,0.54863,0.54769,-0.0009399999999999409,-0.17133587299271658
NCL,campus_15,loss1,Top 20,NDCG,0.40486,0.39633,-0.008529999999999982,-2.1069011510151614
NCL,campus_15,loss2,Top 3,Hit Ratio,0.14958,0.1493,-0.00028000000000000247,-0.1871908009092141
NCL,campus_15,loss2,Top 3,Precision,0.24159,0.24113,-0.0004599999999999882,-0.19040523200463108
