Model,Campus,Loss,TopK,Metric,Baseline(loss0),Value,AbsDiff,RelDiff(%)
NCL,campus_10,loss3,Top 3,Hit Ratio,0.21929,0.22011,0.0008199999999999874,0.37393405992064727
NCL,campus_10,loss3,Top 3,Precision,0.27121,0.27222,0.0010100000000000109,0.3724051473028321
NCL,campus_10,loss3,Top 3,Recall,0.29504,0.29315,-0.0018900000000000028,-0.6405911062906733
NCL,campus_10,loss3,Top 3,NDCG,0.35431,0.35508,0.0007699999999999929,0.21732381248059407
NCL,campus_10,loss3,Top 5,Hit Ratio,0.30355,0.30236,-0.0011899999999999689,-0.39202767254158094
NCL,campus_10,loss3,Top 5,Precision,0.22526,0.22437,-0.0008899999999999741,-0.39509899671489573
NCL,campus_10,loss3,Top 5,Recall,0.38094,0.37871,-0.0022300000000000098,-0.585394025305825
NCL,campus_10,loss3,Top 5,NDCG,0.37446,0.374,-0.00046000000000001595,-0.12284356139507983
NCL,campus_10,loss3,Top 10,Hit Ratio,0.43708,0.4385,0.0014199999999999768,0.3248833165553164
NCL,campus_10,loss3,Top 10,Precision,0.16217,0.1627,0.0005300000000000027,0.3268175371523726
NCL,campus_10,loss3,Top 10,Recall,0.49609,0.49534,-0.0007499999999999729,-0.1511822451571233
NCL,campus_10,loss3,Top 10,NDCG,0.40878,0.40941,0.0006300000000000194,0.1541171290180585
NCL,campus_10,loss3,Top 20,Hit Ratio,0.5768,0.57628,-0.0005199999999999649,-0.09015256588071514
NCL,campus_10,loss3,Top 20,Precision,0.10701,0.10691,-9.999999999998899e-05,-0.09344921035416222
NCL,campus_10,loss3,Top 20,Recall,0.60229,0.59712,-0.005170000000000008,-0.8583904763486041
NCL,campus_10,loss3,Top 20,NDCG,0.44627,0.44554,-0.0007300000000000084,-0.16357810294216696
NCL,campus_10,loss5,Top 3,Hit Ratio,0.21929,0.21981,0.0005199999999999927,0.23712891604724004
NCL,campus_10,loss5,Top 3,Precision,0.27121,0.27185,0.0006399999999999739,0.23597949928099035
NCL,campus_10,loss5,Top 3,Recall,0.29504,0.29453,-0.0005100000000000104,-0.17285791757050245
NCL,campus_10,loss5,Top 3,NDCG,0.35431,0.35585,0.0015399999999999858,0.43464762496118814
NCL,campus_10,loss5,Top 5,Hit Ratio,0.30355,0.30422,0.0006700000000000039,0.2207214626914854
NCL,campus_10,loss5,Top 5,Precision,0.22526,0.22575,0.0004900000000000182,0.21752641392169858
NCL,campus_10,loss5,Top 5,Recall,0.38094,0.3816,0.0006599999999999939,0.17325563080799966
NCL,campus_10,loss5,Top 5,NDCG,0.37446,0.37585,0.0013900000000000023,0.3712011963894681
NCL,campus_10,loss5,Top 10,Hit Ratio,0.43708,0.43604,-0.001040000000000041,-0.23794271071658296
NCL,campus_10,loss5,Top 10,Precision,0.16217,0.16178,-0.00039000000000000146,-0.24048837639514178
NCL,campus_10,loss5,Top 10,Recall,0.49609,0.49398,-0.0021100000000000008,-0.4253260497087224
NCL,campus_10,loss5,Top 10,NDCG,0.40878,0.40898,0.00020000000000003348,0.04892607270415223
NCL,campus_10,loss5,Top 20,Hit Ratio,0.5768,0.57434,-0.0024600000000000177,-0.42649098474341507
NCL,campus_10,loss5,Top 20,Precision,0.10701,0.10655,-0.0004599999999999882,-0.4298663676291825
NCL,campus_10,loss5,Top 20,Recall,0.60229,0.59431,-0.007979999999999987,-1.324943133706352
NCL,campus_10,loss5,Top 20,NDCG,0.44627,0.44485,-0.0014199999999999768,-0.31819302216146655
NCL,campus_102,loss3,Top 3,Hit Ratio,0.21749,0.22017,0.0026800000000000157,1.232240562784503
NCL,campus_102,loss3,Top 3,Precision,0.23916,0.24211,0.0029499999999999804,1.2334838601772788
NCL,campus_102,loss3,Top 3,Recall,0.2837,0.28759,0.0038900000000000046,1.3711667254141715
NCL,campus_102,loss3,Top 3,NDCG,0.32407,0.32813,0.0040599999999999525,1.2528157496836956
NCL,campus_102,loss3,Top 5,Hit Ratio,0.30265,0.30141,-0.0012399999999999634,-0.4097141913100821
NCL,campus_102,loss3,Top 5,Precision,0.19968,0.19886,-0.0008199999999999874,-0.410657051282045
NCL,campus_102,loss3,Top 5,Recall,0.37051,0.3703,-0.00020999999999998797,-0.056678632155674064
NCL,campus_102,loss3,Top 5,NDCG,0.34692,0.34818,0.0012599999999999834,0.3631961259079855
NCL,campus_102,loss3,Top 10,Hit Ratio,0.43336,0.43058,-0.0027800000000000047,-0.641498984677867
NCL,campus_102,loss3,Top 10,Precision,0.14296,0.14205,-0.0009099999999999941,-0.636541689983208
NCL,campus_102,loss3,Top 10,Recall,0.49044,0.48946,-0.0009799999999999809,-0.19982056928472006
NCL,campus_102,loss3,Top 10,NDCG,0.38841,0.38906,0.0006500000000000394,0.1673489354033211
NCL,campus_102,loss3,Top 20,Hit Ratio,0.55794,0.55602,-0.0019200000000000328,-0.3441230239810791
