Model,Campus,Loss,TopK,Metric,Baseline(loss0),Value,AbsDiff,RelDiff(%)
LightGCN,campus_10,loss1,Top 10,Hit Ratio,0.03636,0.03688,0.0005199999999999996,1.430143014301429
LightGCN,campus_10,loss1,Top 10,Precision,0.02426,0.02461,0.0003499999999999996,1.4427040395713093
LightGCN,campus_10,loss1,Top 10,Recall,0.04557,0.04592,0.0003500000000000031,0.7680491551459361
LightGCN,campus_10,loss1,Top 10,NDCG,0.04322,0.04276,-0.0004600000000000021,-1.0643220731143037
LightGCN,campus_10,loss1,Top 20,Hit Ratio,0.05593,0.05593,0.0,0.0
LightGCN,campus_10,loss1,Top 20,Precision,0.01866,0.01866,0.0,0.0
LightGCN,campus_10,loss1,Top 20,Recall,0.06669,0.06717,0.0004799999999999943,0.7197480881691323
LightGCN,campus_10,loss1,Top 20,NDCG,0.04974,0.04921,-0.0005300000000000027,-1.065540812223568
LightGCN,campus_10,loss2,Top 10,Hit Ratio,0.03636,0.03443,-0.0019300000000000012,-5.308030803080311
LightGCN,campus_10,loss2,Top 10,Precision,0.02426,0.02297,-0.0012899999999999995,-5.317394888705686
LightGCN,campus_10,loss2,Top 10,Recall,0.04557,0.0464,0.0008299999999999974,1.8213737107746268
LightGCN,campus_10,loss2,Top 10,NDCG,0.04322,0.04201,-0.0012100000000000027,-2.799629801018053
LightGCN,campus_10,loss2,Top 20,Hit Ratio,0.05593,0.0558,-0.00012999999999999817,-0.2324333988914682
LightGCN,campus_10,loss2,Top 20,Precision,0.01866,0.01862,-3.999999999999837e-05,-0.21436227224007703
LightGCN,campus_10,loss2,Top 20,Recall,0.06669,0.0711,0.004409999999999997,6.612685560053977
LightGCN,campus_10,loss2,Top 20,NDCG,0.04974,0.04989,0.00014999999999999736,0.30156815440288975
LightGCN,campus_10,loss3,Top 10,Hit Ratio,0.03636,0.03736,0.000999999999999994,2.7502750275027332
LightGCN,campus_10,loss3,Top 10,Precision,0.02426,0.02493,0.0006700000000000005,2.761747732893654
