Model,Campus,Loss,TopK,Metric,Baseline(loss0),Value,AbsDiff,RelDiff(%)
NCL,campus_10,loss3,Top 3,Hit Ratio,0.2193775,0.2211533333333333,0.0017758333333333098,0.8094874512351129
NCL,campus_10,loss3,Top 3,Precision,0.2713225,0.27351333333333333,0.0021908333333333085,0.8074646715010028
NCL,campus_10,loss3,Top 3,Recall,0.2927025,0.29534666666666665,0.0026441666666666697,0.9033631986971994
NCL,campus_10,loss3,Top 3,NDCG,0.352945,0.35652666666666666,0.0035816666666666497,1.0147945619477963
NCL,campus_10,loss3,Top 5,Hit Ratio,0.3036475,0.30348,-0.0001674999999999871,-0.05516264747774545
NCL,campus_10,loss3,Top 5,Precision,0.225325,0.22519999999999998,-0.000125000000000014,-0.055475424387002766
NCL,campus_10,loss3,Top 5,Recall,0.3798125,0.38125666666666663,0.0014441666666666353,0.3802314738631918
NCL,campus_10,loss3,Top 5,NDCG,0.3732725,0.3755933333333334,0.002320833333333383,0.6217530981610976
NCL,campus_10,loss3,Top 10,Hit Ratio,0.4399725,0.43887000000000004,-0.0011024999999999507,-0.2505838433083774
NCL,campus_10,loss3,Top 10,Precision,0.1632425,0.16283666666666666,-0.00040583333333335525,-0.24860764404695787
NCL,campus_10,loss3,Top 10,Recall,0.4994875,0.4978833333333334,-0.0016041666666665733,-0.3211625249213591
NCL,campus_10,loss3,Top 10,NDCG,0.40908249999999996,0.41062333333333334,0.0015408333333333801,0.37665589051924253
NCL,campus_10,loss3,Top 20,Hit Ratio,0.4399725,0.43887000000000004,-0.0011024999999999507,-0.2505838433083774
NCL,campus_10,loss3,Top 20,Precision,0.0816225,0.08142,-0.00020249999999999435,-0.2480933566112216
NCL,campus_10,loss3,Top 20,Recall,0.4994875,0.4978833333333334,-0.0016041666666665733,-0.3211625249213591
NCL,campus_10,loss3,Top 20,NDCG,0.40413,0.40564666666666666,0.0015166666666666662,0.375291779047996
NCL,campus_10,loss5,Top 3,Hit Ratio,0.2193775,0.2202925,0.0009149999999999991,0.41708926394001167
NCL,campus_10,loss5,Top 3,Precision,0.2713225,0.2724575,0.0011349999999999971,0.4183213703249812
NCL,campus_10,loss5,Top 3,Recall,0.2927025,0.2947325,0.0020300000000000318,0.693536953049609
