Model,Campus,Loss,TopK,Metric,Baseline(loss0),Value,AbsDiff,RelDiff(%)
LightGCN,campus_10,loss1,Top 10,Hit Ratio,0.03976,0.03861,-0.0011499999999999982,-2.8923541247484867
LightGCN,campus_10,loss1,Top 10,Precision,0.03556,0.03454,-0.00102,-2.8683914510686166
LightGCN,campus_10,loss1,Top 10,Recall,0.05421,0.05248,-0.0017300000000000024,-3.1912931193506777
LightGCN,campus_10,loss1,Top 10,NDCG,0.05607,0.0549,-0.0011700000000000044,-2.0866773675762516
LightGCN,campus_10,loss1,Top 20,Hit Ratio,0.06051,0.05865,-0.0018600000000000005,-3.073872087258305
LightGCN,campus_10,loss1,Top 20,Precision,0.02706,0.02623,-0.0008300000000000009,-3.067257945306729
LightGCN,campus_10,loss1,Top 20,Recall,0.0813,0.0767,-0.004599999999999993,-5.658056580565797
LightGCN,campus_10,loss1,Top 20,NDCG,0.06245,0.06062,-0.0018299999999999983,-2.930344275420334
LightGCN,campus_10,loss2,Top 10,Hit Ratio,0.03976,0.03827,-0.0014899999999999983,-3.7474849094567366
LightGCN,campus_10,loss2,Top 10,Precision,0.03556,0.03423,-0.0013300000000000048,-3.740157480314974
LightGCN,campus_10,loss2,Top 10,Recall,0.05421,0.05284,-0.0013700000000000032,-2.5272090020291516
LightGCN,campus_10,loss2,Top 10,NDCG,0.05607,0.05473,-0.001340000000000001,-2.3898698056001444
LightGCN,campus_10,loss2,Top 20,Hit Ratio,0.06051,0.05871,-0.001800000000000003,-2.974714923153203
LightGCN,campus_10,loss2,Top 20,Precision,0.02706,0.02626,-0.0008000000000000021,-2.956393200295647
LightGCN,campus_10,loss2,Top 20,Recall,0.0813,0.07667,-0.004629999999999995,-5.69495694956949
LightGCN,campus_10,loss2,Top 20,NDCG,0.06245,0.06062,-0.0018299999999999983,-2.930344275420334
LightGCN,campus_10,loss3,Top 10,Hit Ratio,0.03976,0.03916,-0.0005999999999999964,-1.5090543259557254
LightGCN,campus_10,loss3,Top 10,Precision,0.03556,0.03503,-0.0005300000000000027,-1.4904386951631121
LightGCN,campus_10,loss3,Top 10,Recall,0.05421,0.05453,0.00032000000000000084,0.5902969931746925
LightGCN,campus_10,loss3,Top 10,NDCG,0.05607,0.0562,0.00012999999999999817,0.2318530408418016
LightGCN,campus_10,loss3,Top 20,Hit Ratio,0.06051,0.05975,-0.0007600000000000037,-1.2559907453313564
LightGCN,campus_10,loss3,Top 20,Precision,0.02706,0.02672,-0.00034,-1.2564671101256468
LightGCN,campus_10,loss3,Top 20,Recall,0.0813,0.0806,-0.0006999999999999923,-0.8610086100860914
LightGCN,campus_10,loss3,Top 20,NDCG,0.06245,0.0625,5.000000000000143e-05,0.08006405124099508
LightGCN,campus_10,loss4,Top 10,Hit Ratio,0.03976,0.03855,-0.0012099999999999958,-3.043259557344054
LightGCN,campus_10,loss4,Top 10,Precision,0.03556,0.03449,-0.0010700000000000015,-3.0089988751406116
