Model,Campus,Loss,TopK,Metric,Baseline(loss0),Value,AbsDiff,RelDiff(%)
LightGCN,campus_10,loss1,Top 10,Hit Ratio,0.21365,0.20272,-0.010929999999999995,-5.115843669553005
LightGCN,campus_10,loss1,Top 10,Precision,0.19111,0.18134,-0.009770000000000001,-5.1122390246454925
LightGCN,campus_10,loss1,Top 10,Recall,0.30956,0.29428,-0.015280000000000016,-4.936038247835643
LightGCN,campus_10,loss1,Top 10,NDCG,0.34674,0.32906,-0.017679999999999974,-5.098921382015336
LightGCN,campus_10,loss1,Top 20,Hit Ratio,0.29638,0.28335,-0.013029999999999986,-4.396383021796338
LightGCN,campus_10,loss1,Top 20,Precision,0.13256,0.12673,-0.005830000000000002,-4.398008449004225
LightGCN,campus_10,loss1,Top 20,Recall,0.38578,0.37062,-0.015160000000000007,-3.9297008657784245
LightGCN,campus_10,loss1,Top 20,NDCG,0.3573,0.34034,-0.01696000000000003,-4.746711446963345
LightGCN,campus_10,loss2,Top 10,Hit Ratio,0.21365,0.20511,-0.00854000000000002,-3.9971916686169062
LightGCN,campus_10,loss2,Top 10,Precision,0.19111,0.18348,-0.007629999999999998,-3.9924650724713504
LightGCN,campus_10,loss2,Top 10,Recall,0.30956,0.2985,-0.011060000000000014,-3.572813024938627
LightGCN,campus_10,loss2,Top 10,NDCG,0.34674,0.3321,-0.014639999999999986,-4.222183768818131
LightGCN,campus_10,loss2,Top 20,Hit Ratio,0.29638,0.28688,-0.009499999999999953,-3.205344490181508
LightGCN,campus_10,loss2,Top 20,Precision,0.13256,0.12831,-0.004250000000000004,-3.206095353047679
LightGCN,campus_10,loss2,Top 20,Recall,0.38578,0.37515,-0.010630000000000028,-2.7554564777852733
LightGCN,campus_10,loss2,Top 20,NDCG,0.3573,0.3435,-0.013799999999999979,-3.862300587741388
LightGCN,campus_10,loss3,Top 10,Hit Ratio,0.21365,0.21306,-0.0005900000000000072,-0.27615258600515197
LightGCN,campus_10,loss3,Top 10,Precision,0.19111,0.19059,-0.0005199999999999927,-0.27209460520118917
LightGCN,campus_10,loss3,Top 10,Recall,0.30956,0.30938,-0.00018000000000001348,-0.05814704742215192
LightGCN,campus_10,loss3,Top 10,NDCG,0.34674,0.34597,-0.0007699999999999929,-0.2220684086058698
LightGCN,campus_10,loss3,Top 20,Hit Ratio,0.29638,0.29606,-0.00031999999999998696,-0.1079694986166364
LightGCN,campus_10,loss3,Top 20,Precision,0.13256,0.13242,-0.00014000000000000123,-0.10561255280627732
LightGCN,campus_10,loss3,Top 20,Recall,0.38578,0.38498,-0.0008000000000000229,-0.2073720773497908
LightGCN,campus_10,loss3,Top 20,NDCG,0.3573,0.35639,-0.0009100000000000219,-0.2546879373075908
LightGCN,campus_10,loss4,Top 10,Hit Ratio,0.21365,0.2116,-0.0020499999999999963,-0.9595132225602604
LightGCN,campus_10,loss4,Top 10,Precision,0.19111,0.18928,-0.0018299999999999983,-0.957563706765736
LightGCN,campus_10,loss4,Top 10,Recall,0.30956,0.30858,-0.0009799999999999809,-0.3165783692983528
LightGCN,campus_10,loss4,Top 10,NDCG,0.34674,0.34377,-0.0029699999999999727,-0.8565495760512122
LightGCN,campus_10,loss4,Top 20,Hit Ratio,0.29638,0.29544,-0.0009399999999999964,-0.3171604021863812
LightGCN,campus_10,loss4,Top 20,Precision,0.13256,0.13214,-0.0004200000000000037,-0.316837658418832
LightGCN,campus_10,loss4,Top 20,Recall,0.38578,0.38469,-0.0010900000000000354,-0.28254445538909106
LightGCN,campus_10,loss4,Top 20,NDCG,0.3573,0.35475,-0.0025499999999999967,-0.7136859781696044
LightGCN,campus_10,loss5,Top 10,Hit Ratio,0.21365,0.21213,-0.0015199999999999936,-0.7114439503861425
LightGCN,campus_10,loss5,Top 10,Precision,0.19111,0.18975,-0.00136,-0.7116320443723511
LightGCN,campus_10,loss5,Top 10,Recall,0.30956,0.30724,-0.0023199999999999887,-0.7494508334410094
LightGCN,campus_10,loss5,Top 10,NDCG,0.34674,0.34319,-0.0035499999999999976,-1.0238218838322657
LightGCN,campus_10,loss5,Top 20,Hit Ratio,0.29638,0.29567,-0.0007099999999999884,-0.2395573250556679
LightGCN,campus_10,loss5,Top 20,Precision,0.13256,0.13224,-0.0003200000000000147,-0.2414001207000714
LightGCN,campus_10,loss5,Top 20,Recall,0.38578,0.38346,-0.0023199999999999887,-0.6013790243143732
LightGCN,campus_10,loss5,Top 20,NDCG,0.3573,0.35418,-0.0031200000000000117,-0.8732157850545793
LightGCN,campus_102,loss1,Top 10,Hit Ratio,0.21594,0.20448,-0.011459999999999998,-5.307029730480688
LightGCN,campus_102,loss1,Top 10,Precision,0.2024,0.19166,-0.01074,-5.3063241106719365
LightGCN,campus_102,loss1,Top 10,Recall,0.28871,0.27319,-0.015520000000000034,-5.375636451802858
LightGCN,campus_102,loss1,Top 10,NDCG,0.34075,0.32728,-0.013469999999999982,-3.95304475421863
LightGCN,campus_102,loss1,Top 20,Hit Ratio,0.29722,0.27823,-0.018990000000000007,-6.389206648274008
LightGCN,campus_102,loss1,Top 20,Precision,0.13929,0.13039,-0.008899999999999991,-6.3895469882977896
LightGCN,campus_102,loss1,Top 20,Recall,0.36599,0.3447,-0.021289999999999976,-5.817098827836819
LightGCN,campus_102,loss1,Top 20,NDCG,0.34991,0.33385,-0.01606000000000002,-4.5897516504244
LightGCN,campus_102,loss2,Top 10,Hit Ratio,0.21594,0.20361,-0.01232999999999998,-5.709919422061675
LightGCN,campus_102,loss2,Top 10,Precision,0.2024,0.19084,-0.011559999999999987,-5.711462450592879
LightGCN,campus_102,loss2,Top 10,Recall,0.28871,0.2708,-0.017910000000000037,-6.203456755914251
LightGCN,campus_102,loss2,Top 10,NDCG,0.34075,0.32622,-0.014529999999999987,-4.264123257520172
LightGCN,campus_102,loss2,Top 20,Hit Ratio,0.29722,0.27812,-0.019100000000000006,-6.426216270775859
LightGCN,campus_102,loss2,Top 20,Precision,0.13929,0.13034,-0.008949999999999986,-6.425443319692717
LightGCN,campus_102,loss2,Top 20,Recall,0.36599,0.34458,-0.021409999999999985,-5.849886608923737
LightGCN,campus_102,loss2,Top 20,NDCG,0.34991,0.33374,-0.016170000000000018,-4.621188305564293
LightGCN,campus_102,loss3,Top 10,Hit Ratio,0.21594,0.21642,0.0004800000000000082,0.22228396776882847
LightGCN,campus_102,loss3,Top 10,Precision,0.2024,0.20285,0.00045000000000000595,0.22233201581027962
LightGCN,campus_102,loss3,Top 10,Recall,0.28871,0.28886,0.00014999999999998348,0.05195524921200633
LightGCN,campus_102,loss3,Top 10,NDCG,0.34075,0.34336,0.002610000000000001,0.7659574468085111
LightGCN,campus_102,loss3,Top 20,Hit Ratio,0.29722,0.29711,-0.00010999999999999899,-0.037009622501850144
LightGCN,campus_102,loss3,Top 20,Precision,0.13929,0.13924,-4.999999999999449e-05,-0.03589633139492748
LightGCN,campus_102,loss3,Top 20,Recall,0.36599,0.36566,-0.00032999999999999696,-0.09016639798901527
LightGCN,campus_102,loss3,Top 20,NDCG,0.34991,0.35164,0.0017300000000000093,0.49441284901832167
LightGCN,campus_102,loss4,Top 10,Hit Ratio,0.21594,0.2121,-0.0038399999999999823,-1.7782717421505894
LightGCN,campus_102,loss4,Top 10,Precision,0.2024,0.19881,-0.00359000000000001,-1.7737154150197678
LightGCN,campus_102,loss4,Top 10,Recall,0.28871,0.2829,-0.005810000000000037,-2.01239998614528
LightGCN,campus_102,loss4,Top 10,NDCG,0.34075,0.34034,-0.00041000000000002146,-0.1203228173147532
LightGCN,campus_102,loss4,Top 20,Hit Ratio,0.29722,0.28852,-0.008699999999999986,-2.9271246887827154
LightGCN,campus_102,loss4,Top 20,Precision,0.13929,0.13522,-0.00406999999999999,-2.9219613755474123
LightGCN,campus_102,loss4,Top 20,Recall,0.36599,0.35646,-0.009529999999999983,-2.603896281319157
LightGCN,campus_102,loss4,Top 20,NDCG,0.34991,0.34696,-0.002950000000000008,-0.8430739332971359
LightGCN,campus_102,loss5,Top 10,Hit Ratio,0.21594,0.21418,-0.0017599999999999838,-0.8150412151523496
LightGCN,campus_102,loss5,Top 10,Precision,0.2024,0.20076,-0.0016400000000000026,-0.8102766798418984
LightGCN,campus_102,loss5,Top 10,Recall,0.28871,0.2863,-0.0024100000000000232,-0.8347476706730016
LightGCN,campus_102,loss5,Top 10,NDCG,0.34075,0.33976,-0.0009899999999999909,-0.29053558327219103
LightGCN,campus_102,loss5,Top 20,Hit Ratio,0.29722,0.29706,-0.00015999999999999348,-0.0538321781845076
LightGCN,campus_102,loss5,Top 20,Precision,0.13929,0.13922,-6.999999999998674e-05,-0.05025486395289449
LightGCN,campus_102,loss5,Top 20,Recall,0.36599,0.3667,0.0007100000000000439,0.19399437143092543
LightGCN,campus_102,loss5,Top 20,NDCG,0.34991,0.35019,0.00028000000000000247,0.08002057671972863
LightGCN,campus_143,loss1,Top 10,Hit Ratio,0.48996,0.47993,-0.010029999999999983,-2.047105886194788
LightGCN,campus_143,loss1,Top 10,Precision,0.15751,0.15429,-0.0032200000000000006,-2.0443146466890996
LightGCN,campus_143,loss1,Top 10,Recall,0.58061,0.57083,-0.009780000000000011,-1.6844353352508588
LightGCN,campus_143,loss1,Top 10,NDCG,0.53371,0.52351,-0.010199999999999987,-1.911150250135839
LightGCN,campus_143,loss1,Top 20,Hit Ratio,0.58126,0.57006,-0.011199999999999988,-1.9268485703471747
LightGCN,campus_143,loss1,Top 20,Precision,0.09343,0.09163,-0.001799999999999996,-1.9265760462378207
LightGCN,campus_143,loss1,Top 20,Recall,0.64642,0.63871,-0.007709999999999995,-1.1927229974320093
LightGCN,campus_143,loss1,Top 20,NDCG,0.55623,0.54654,-0.009689999999999976,-1.7420851086780604
LightGCN,campus_143,loss2,Top 10,Hit Ratio,0.48996,0.48168,-0.00828000000000001,-1.6899338721528305
LightGCN,campus_143,loss2,Top 10,Precision,0.15751,0.15485,-0.0026600000000000235,-1.6887816646562273
LightGCN,campus_143,loss2,Top 10,Recall,0.58061,0.57051,-0.010099999999999998,-1.7395497838480216
LightGCN,campus_143,loss2,Top 10,NDCG,0.53371,0.52535,-0.008360000000000034,-1.5663937344250687
LightGCN,campus_143,loss2,Top 20,Hit Ratio,0.58126,0.57129,-0.009970000000000034,-1.7152393077108408
LightGCN,campus_143,loss2,Top 20,Precision,0.09343,0.09183,-0.0016000000000000042,-1.7125120411002934
LightGCN,campus_143,loss2,Top 20,Recall,0.64642,0.63883,-0.007589999999999986,-1.1741592153708094
LightGCN,campus_143,loss2,Top 20,NDCG,0.55623,0.54834,-0.007889999999999953,-1.4184779677471464
LightGCN,campus_143,loss3,Top 10,Hit Ratio,0.48996,0.48996,0.0,0.0
LightGCN,campus_143,loss3,Top 10,Precision,0.15751,0.15751,0.0,0.0
LightGCN,campus_143,loss3,Top 10,Recall,0.58061,0.57975,-0.0008599999999999719,-0.14812008060487625
LightGCN,campus_143,loss3,Top 10,NDCG,0.53371,0.53435,0.0006399999999999739,0.11991530981244006
LightGCN,campus_143,loss3,Top 20,Hit Ratio,0.58126,0.58081,-0.00044999999999995044,-0.07741802291572626
LightGCN,campus_143,loss3,Top 20,Precision,0.09343,0.09336,-7.000000000000062e-05,-0.0749224017981383
LightGCN,campus_143,loss3,Top 20,Recall,0.64642,0.64631,-0.00010999999999994348,-0.01701680022275664
LightGCN,campus_143,loss3,Top 20,NDCG,0.55623,0.55703,0.0008000000000000229,0.1438253959692974
LightGCN,campus_143,loss4,Top 10,Hit Ratio,0.48996,0.48569,-0.004269999999999996,-0.871499714262388
LightGCN,campus_143,loss4,Top 10,Precision,0.15751,0.15614,-0.00137000000000001,-0.8697860453304616
LightGCN,campus_143,loss4,Top 10,Recall,0.58061,0.5764,-0.004209999999999936,-0.7250994643564417
LightGCN,campus_143,loss4,Top 10,NDCG,0.53371,0.53351,-0.00019999999999997797,-0.03747353431638492
LightGCN,campus_143,loss4,Top 20,Hit Ratio,0.58126,0.57174,-0.009519999999999973,-1.6378212847950955
LightGCN,campus_143,loss4,Top 20,Precision,0.09343,0.0919,-0.0015300000000000036,-1.637589639302155
LightGCN,campus_143,loss4,Top 20,Recall,0.64642,0.63651,-0.009909999999999974,-1.5330590018873138
LightGCN,campus_143,loss4,Top 20,NDCG,0.55623,0.55426,-0.0019700000000000273,-0.3541700375743896
LightGCN,campus_143,loss5,Top 10,Hit Ratio,0.48996,0.48886,-0.0010999999999999899,-0.2245081231120887
LightGCN,campus_143,loss5,Top 10,Precision,0.15751,0.15716,-0.00035000000000001696,-0.222208113770565
LightGCN,campus_143,loss5,Top 10,Recall,0.58061,0.58037,-0.00023999999999990695,-0.041335836447857766
LightGCN,campus_143,loss5,Top 10,NDCG,0.53371,0.53468,0.0009700000000000264,0.18174664143449185
LightGCN,campus_143,loss5,Top 20,Hit Ratio,0.58126,0.5788,-0.0024600000000000177,-0.4232185252726865
LightGCN,campus_143,loss5,Top 20,Precision,0.09343,0.09304,-0.00039000000000000146,-0.417424810018197
LightGCN,campus_143,loss5,Top 20,Recall,0.64642,0.64407,-0.0023499999999999632,-0.36354073203180026
LightGCN,campus_143,loss5,Top 20,NDCG,0.55623,0.55667,0.00043999999999999595,0.07910396778311057
LightGCN,campus_15,loss1,Top 10,Hit Ratio,0.1865,0.18124,-0.005259999999999987,-2.8203753351206364
LightGCN,campus_15,loss1,Top 10,Precision,0.24938,0.24235,-0.007029999999999981,-2.818991097922841
LightGCN,campus_15,loss1,Top 10,Recall,0.27629,0.26266,-0.013629999999999975,-4.933222338846855
LightGCN,campus_15,loss1,Top 10,NDCG,0.38158,0.36714,-0.014439999999999953,-3.7842654227160635
LightGCN,campus_15,loss1,Top 20,Hit Ratio,0.27748,0.26919,-0.00829000000000002,-2.98760271010524
LightGCN,campus_15,loss1,Top 20,Precision,0.18552,0.17998,-0.005539999999999989,-2.9862009486847723
LightGCN,campus_15,loss1,Top 20,Recall,0.35357,0.33732,-0.016249999999999987,-4.595978165568342
LightGCN,campus_15,loss1,Top 20,NDCG,0.3746,0.3589,-0.015699999999999992,-4.191137213027226
LightGCN,campus_15,loss2,Top 10,Hit Ratio,0.1865,0.18155,-0.00495000000000001,-2.6541554959785576
LightGCN,campus_15,loss2,Top 10,Precision,0.24938,0.24277,-0.006609999999999977,-2.650573422086766
LightGCN,campus_15,loss2,Top 10,Recall,0.27629,0.26278,-0.013509999999999966,-4.889789713706601
LightGCN,campus_15,loss2,Top 10,NDCG,0.38158,0.36861,-0.012969999999999982,-3.3990251061376333
LightGCN,campus_15,loss2,Top 20,Hit Ratio,0.27748,0.27021,-0.007269999999999999,-2.620008649272019
LightGCN,campus_15,loss2,Top 20,Precision,0.18552,0.18066,-0.004860000000000003,-2.6196636481241935
LightGCN,campus_15,loss2,Top 20,Recall,0.35357,0.33872,-0.014849999999999974,-4.200016969765527
LightGCN,campus_15,loss2,Top 20,NDCG,0.3746,0.36072,-0.013880000000000003,-3.7052856380138826
LightGCN,campus_15,loss3,Top 10,Hit Ratio,0.1865,0.18569,-0.0008100000000000052,-0.43431635388740225
LightGCN,campus_15,loss3,Top 10,Precision,0.24938,0.2483,-0.0010799999999999976,-0.4330740235784737
LightGCN,campus_15,loss3,Top 10,Recall,0.27629,0.27264,-0.0036499999999999866,-1.321075681349302
LightGCN,campus_15,loss3,Top 10,NDCG,0.38158,0.37912,-0.0024599999999999622,-0.6446878767230889
LightGCN,campus_15,loss3,Top 20,Hit Ratio,0.27748,0.2769,-0.0005800000000000249,-0.20902407380713023
LightGCN,campus_15,loss3,Top 20,Precision,0.18552,0.18513,-0.00039000000000000146,-0.21021992238033715
LightGCN,campus_15,loss3,Top 20,Recall,0.35357,0.35282,-0.0007499999999999729,-0.21212206918006984
LightGCN,campus_15,loss3,Top 20,NDCG,0.3746,0.37311,-0.0014899999999999913,-0.39775760811532074
LightGCN,campus_15,loss4,Top 10,Hit Ratio,0.1865,0.18645,-4.999999999999449e-05,-0.02680965147452788
LightGCN,campus_15,loss4,Top 10,Precision,0.24938,0.24931,-6.999999999998674e-05,-0.028069612639340262
LightGCN,campus_15,loss4,Top 10,Recall,0.27629,0.27593,-0.00035999999999997145,-0.13029787542074323
LightGCN,campus_15,loss4,Top 10,NDCG,0.38158,0.38157,-9.99999999995449e-06,-0.0026206824256917267
LightGCN,campus_15,loss4,Top 20,Hit Ratio,0.27748,0.27604,-0.0014399999999999968,-0.5189563211762999
LightGCN,campus_15,loss4,Top 20,Precision,0.18552,0.18456,-0.0009599999999999886,-0.5174644243208218
LightGCN,campus_15,loss4,Top 20,Recall,0.35357,0.35128,-0.0022900000000000142,-0.647679384563174
LightGCN,campus_15,loss4,Top 20,NDCG,0.3746,0.37347,-0.0011299999999999644,-0.30165509877201396
LightGCN,campus_15,loss5,Top 10,Hit Ratio,0.1865,0.18603,-0.0004699999999999982,-0.25201072386058887
LightGCN,campus_15,loss5,Top 10,Precision,0.24938,0.24876,-0.0006199999999999817,-0.2486165690913392
LightGCN,campus_15,loss5,Top 10,Recall,0.27629,0.27454,-0.0017499999999999738,-0.633392449961987
LightGCN,campus_15,loss5,Top 10,NDCG,0.38158,0.38049,-0.0010899999999999799,-0.28565438440169294
LightGCN,campus_15,loss5,Top 20,Hit Ratio,0.27748,0.27675,-0.0007300000000000084,-0.26308202392965563
LightGCN,campus_15,loss5,Top 20,Precision,0.18552,0.18503,-0.0004899999999999904,-0.26412246658041744
LightGCN,campus_15,loss5,Top 20,Recall,0.35357,0.35307,-0.0005000000000000004,-0.14141471278671847
LightGCN,campus_15,loss5,Top 20,NDCG,0.3746,0.37386,-0.0007399999999999629,-0.1975440469834391
LightGCN,campus_34,loss1,Top 10,Hit Ratio,0.37384,0.3594,-0.014440000000000008,-3.862615022469508
LightGCN,campus_34,loss1,Top 10,Precision,0.18883,0.18154,-0.007289999999999991,-3.860615368320707
LightGCN,campus_34,loss1,Top 10,Recall,0.47191,0.45598,-0.01593,-3.375643660867538
LightGCN,campus_34,loss1,Top 10,NDCG,0.45893,0.44672,-0.012209999999999999,-2.660536465256139
LightGCN,campus_34,loss1,Top 20,Hit Ratio,0.47333,0.4548,-0.01852999999999999,-3.914816301523248
LightGCN,campus_34,loss1,Top 20,Precision,0.11955,0.11486,-0.00469,-3.923044751150146
LightGCN,campus_34,loss1,Top 20,Recall,0.55033,0.53151,-0.018819999999999948,-3.419766322024957
LightGCN,campus_34,loss1,Top 20,NDCG,0.48315,0.47003,-0.01312000000000002,-2.7155127807099286
LightGCN,campus_34,loss2,Top 10,Hit Ratio,0.37384,0.36175,-0.01208999999999999,-3.2340038519152547
LightGCN,campus_34,loss2,Top 10,Precision,0.18883,0.18273,-0.006099999999999994,-3.23041889530265
LightGCN,campus_34,loss2,Top 10,Recall,0.47191,0.45556,-0.016349999999999976,-3.464643682058014
LightGCN,campus_34,loss2,Top 10,NDCG,0.45893,0.44699,-0.011940000000000006,-2.60170396356743
LightGCN,campus_34,loss2,Top 20,Hit Ratio,0.47333,0.45776,-0.015569999999999973,-3.2894597849280576
LightGCN,campus_34,loss2,Top 20,Precision,0.11955,0.11561,-0.003939999999999999,-3.2956921790045994
LightGCN,campus_34,loss2,Top 20,Recall,0.55033,0.53419,-0.016139999999999932,-2.932785783075597
LightGCN,campus_34,loss2,Top 20,NDCG,0.48315,0.47113,-0.01202000000000003,-2.487840215254068
LightGCN,campus_34,loss3,Top 10,Hit Ratio,0.37384,0.37003,-0.00380999999999998,-1.0191525786432645
LightGCN,campus_34,loss3,Top 10,Precision,0.18883,0.18691,-0.001920000000000005,-1.0167875867182148
LightGCN,campus_34,loss3,Top 10,Recall,0.47191,0.4652,-0.006709999999999994,-1.4218812909241156
LightGCN,campus_34,loss3,Top 10,NDCG,0.45893,0.45634,-0.002589999999999981,-0.5643562199028133
LightGCN,campus_34,loss3,Top 20,Hit Ratio,0.47333,0.46952,-0.00380999999999998,-0.804935246022855
LightGCN,campus_34,loss3,Top 20,Precision,0.11955,0.11858,-0.0009699999999999986,-0.8113759933082381
LightGCN,campus_34,loss3,Top 20,Recall,0.55033,0.54452,-0.005809999999999982,-1.0557301982446863
LightGCN,campus_34,loss3,Top 20,NDCG,0.48315,0.48088,-0.0022700000000000498,-0.4698333850771085
LightGCN,campus_34,loss4,Top 10,Hit Ratio,0.37384,0.36678,-0.007060000000000011,-1.888508452814041
LightGCN,campus_34,loss4,Top 10,Precision,0.18883,0.18527,-0.0035600000000000076,-1.885293650373356
LightGCN,campus_34,loss4,Top 10,Recall,0.47191,0.46111,-0.010799999999999976,-2.2885719734695127
LightGCN,campus_34,loss4,Top 10,NDCG,0.45893,0.45552,-0.003410000000000024,-0.743032706512981
LightGCN,campus_34,loss4,Top 20,Hit Ratio,0.47333,0.46425,-0.009079999999999977,-1.918323368474421
LightGCN,campus_34,loss4,Top 20,Precision,0.11955,0.11725,-0.0023000000000000104,-1.9238812212463492
LightGCN,campus_34,loss4,Top 20,Recall,0.55033,0.53866,-0.011669999999999958,-2.120545854305591
LightGCN,campus_34,loss4,Top 20,NDCG,0.48315,0.47914,-0.0040100000000000136,-0.8299699886163745
LightGCN,campus_34,loss5,Top 10,Hit Ratio,0.37384,0.36974,-0.0040999999999999925,-1.0967258720308133
LightGCN,campus_34,loss5,Top 10,Precision,0.18883,0.18677,-0.0020600000000000063,-1.0909283482497518
LightGCN,campus_34,loss5,Top 10,Recall,0.47191,0.46459,-0.007319999999999993,-1.5511432264626714
LightGCN,campus_34,loss5,Top 10,NDCG,0.45893,0.45588,-0.003049999999999997,-0.6645893709280276
LightGCN,campus_34,loss5,Top 20,Hit Ratio,0.47333,0.4681,-0.005229999999999957,-1.1049373587137847
LightGCN,campus_34,loss5,Top 20,Precision,0.11955,0.11822,-0.0013299999999999979,-1.1125052279380994
LightGCN,campus_34,loss5,Top 20,Recall,0.55033,0.54127,-0.009059999999999957,-1.64628495629894
LightGCN,campus_34,loss5,Top 20,NDCG,0.48315,0.47947,-0.0036800000000000166,-0.7616682189796163
MF,campus_10,loss1,Top 10,Hit Ratio,0.23654,0.17675,-0.05979000000000001,-25.27690876807306
MF,campus_10,loss1,Top 10,Precision,0.21159,0.15811,-0.05348,-25.275296564109833
MF,campus_10,loss1,Top 10,Recall,0.33488,0.23485,-0.10003000000000001,-29.870401337792647
MF,campus_10,loss1,Top 10,NDCG,0.3749,0.27308,-0.10182000000000002,-27.159242464657247
MF,campus_10,loss1,Top 20,Hit Ratio,0.32911,0.24695,-0.08216000000000001,-24.96429765124123
MF,campus_10,loss1,Top 20,Precision,0.1472,0.11045,-0.03674999999999999,-24.966032608695645
MF,campus_10,loss1,Top 20,Recall,0.41372,0.30081,-0.11290999999999995,-27.291404814850612
MF,campus_10,loss1,Top 20,NDCG,0.38527,0.28072,-0.10454999999999998,-27.136813144028853
MF,campus_10,loss2,Top 10,Hit Ratio,0.23654,0.15314,-0.0834,-35.25830726304219
MF,campus_10,loss2,Top 10,Precision,0.21159,0.13699,-0.0746,-35.256864691147975
MF,campus_10,loss2,Top 10,Recall,0.33488,0.21387,-0.12101,-36.1353320592451
MF,campus_10,loss2,Top 10,NDCG,0.3749,0.2494,-0.1255,-33.47559349159776
MF,campus_10,loss2,Top 20,Hit Ratio,0.32911,0.20622,-0.12289000000000003,-37.3400990550272
MF,campus_10,loss2,Top 20,Precision,0.1472,0.09224,-0.054959999999999995,-37.336956521739125
MF,campus_10,loss2,Top 20,Recall,0.41372,0.26264,-0.15108,-36.517451416416904
MF,campus_10,loss2,Top 20,NDCG,0.38527,0.2527,-0.13257000000000002,-34.409634801567734
MF,campus_10,loss3,Top 10,Hit Ratio,0.23654,0.2215,-0.015039999999999998,-6.358332628730869
MF,campus_10,loss3,Top 10,Precision,0.21159,0.19813,-0.01346,-6.361359232477905
MF,campus_10,loss3,Top 10,Recall,0.33488,0.30876,-0.026120000000000032,-7.799808886765418
MF,campus_10,loss3,Top 10,NDCG,0.3749,0.35505,-0.019850000000000034,-5.294745265404117
MF,campus_10,loss3,Top 20,Hit Ratio,0.32911,0.29933,-0.02978000000000003,-9.048646349244942
MF,campus_10,loss3,Top 20,Precision,0.1472,0.13388,-0.013319999999999999,-9.04891304347826
MF,campus_10,loss3,Top 20,Recall,0.41372,0.37482,-0.03889999999999999,-9.402494440684519
MF,campus_10,loss3,Top 20,NDCG,0.38527,0.35941,-0.025859999999999994,-6.712175876657926
MF,campus_10,loss4,Top 10,Hit Ratio,0.23654,0.14232,-0.09422,-39.83258645472225
MF,campus_10,loss4,Top 10,Precision,0.21159,0.12731,-0.08428,-39.83175008270712
MF,campus_10,loss4,Top 10,Recall,0.33488,0.20131,-0.13357000000000002,-39.885929288103206
MF,campus_10,loss4,Top 10,NDCG,0.3749,0.23338,-0.14152,-37.74873299546545
MF,campus_10,loss4,Top 20,Hit Ratio,0.32911,0.19558,-0.13353,-40.5730606788004
MF,campus_10,loss4,Top 20,Precision,0.1472,0.08748,-0.059719999999999995,-40.57065217391304
MF,campus_10,loss4,Top 20,Recall,0.41372,0.2579,-0.15581999999999996,-37.66315382384221
MF,campus_10,loss4,Top 20,NDCG,0.38527,0.23927,-0.146,-37.89550185584136
MF,campus_10,loss5,Top 10,Hit Ratio,0.23654,0.21644,-0.020100000000000007,-8.497505707279956
MF,campus_10,loss5,Top 10,Precision,0.21159,0.19361,-0.017979999999999996,-8.497566047544778
MF,campus_10,loss5,Top 10,Recall,0.33488,0.30235,-0.03253,-9.713927376970856
MF,campus_10,loss5,Top 10,NDCG,0.3749,0.35099,-0.023909999999999987,-6.377700720192047
MF,campus_10,loss5,Top 20,Hit Ratio,0.32911,0.29153,-0.03758,-11.418674607274165
MF,campus_10,loss5,Top 20,Precision,0.1472,0.13039,-0.01680999999999999,-11.419836956521735
