Model,Campus,Loss,TopK,Metric,Baseline(loss0),Value,AbsDiff,RelDiff(%)
NCL,campus_143,loss1,Top 3,Hit Ratio,0.48747,0.48153,-0.005940000000000001,-1.2185365253246354
NCL,campus_143,loss1,Top 3,Precision,0.27807,0.27468,-0.003390000000000004,-1.2191174884022025
NCL,campus_143,loss1,Top 3,Recall,0.55441,0.55044,-0.003969999999999918,-0.7160765498457673
NCL,campus_143,loss1,Top 3,NDCG,0.51917,0.51457,-0.0046000000000000485,-0.8860296242078797
NCL,campus_143,loss1,Top 5,Hit Ratio,0.57246,0.5704,-0.0020599999999999508,-0.3598504699018186
NCL,campus_143,loss1,Top 5,Precision,0.19593,0.19523,-0.0007000000000000062,-0.35727045373347943
NCL,campus_143,loss1,Top 5,Recall,0.62514,0.62361,-0.0015300000000000313,-0.24474517708033902
NCL,campus_143,loss1,Top 5,NDCG,0.54581,0.5428,-0.003010000000000068,-0.5514739561385955
NCL,campus_143,loss1,Top 10,Hit Ratio,0.67993,0.6807,0.0007699999999999374,0.11324695189209734
NCL,campus_143,loss1,Top 10,Precision,0.11636,0.11649,0.00012999999999999123,0.11172224132003372
NCL,campus_143,loss1,Top 10,Recall,0.71118,0.71307,0.0018899999999999473,0.26575550493545197
NCL,campus_143,loss1,Top 10,NDCG,0.57824,0.57643,-0.0018099999999999783,-0.3130188157166537
NCL,campus_143,loss1,Top 20,Hit Ratio,0.76595,0.76699,0.0010399999999999299,0.13577909785233108
NCL,campus_143,loss1,Top 20,Precision,0.06554,0.06563,8.999999999999286e-05,0.13732072017087713
NCL,campus_143,loss1,Top 20,Recall,0.77444,0.77627,0.0018299999999999983,0.23629977790403364
NCL,campus_143,loss1,Top 20,NDCG,0.59835,0.59655,-0.0018000000000000238,-0.30082727500627116
NCL,campus_143,loss2,Top 3,Hit Ratio,0.48747,0.48127,-0.006200000000000039,-1.2718731409112436
NCL,campus_143,loss2,Top 3,Precision,0.27807,0.27454,-0.0035299999999999776,-1.2694645233214579
NCL,campus_143,loss2,Top 3,Recall,0.55441,0.54962,-0.004789999999999961,-0.863981529914677
NCL,campus_143,loss2,Top 3,NDCG,0.51917,0.51326,-0.005909999999999971,-1.1383554519714103
NCL,campus_143,loss2,Top 5,Hit Ratio,0.57246,0.57091,-0.0015499999999999403,-0.2707612758969955
NCL,campus_143,loss2,Top 5,Precision,0.19593,0.1954,-0.0005300000000000027,-0.2705047721124905
NCL,campus_143,loss2,Top 5,Recall,0.62514,0.62226,-0.0028799999999999937,-0.46069680391592177
NCL,campus_143,loss2,Top 5,NDCG,0.54581,0.54141,-0.0044000000000000705,-0.8061413312324931
NCL,campus_143,loss2,Top 10,Hit Ratio,0.67993,0.68044,0.0005100000000000104,0.07500772138308509
NCL,campus_143,loss2,Top 10,Precision,0.11636,0.11645,8.999999999999286e-05,0.07734616706771473
NCL,campus_143,loss2,Top 10,Recall,0.71118,0.71031,-0.0008700000000000374,-0.1223318990972802
NCL,campus_143,loss2,Top 10,NDCG,0.57824,0.57462,-0.0036199999999999566,-0.6260376314333074
NCL,campus_143,loss2,Top 20,Hit Ratio,0.76595,0.76724,0.0012900000000000134,0.16841830406684682
NCL,campus_143,loss2,Top 20,Precision,0.06554,0.06565,0.00010999999999999899,0.16783643576441715
NCL,campus_143,loss2,Top 20,Recall,0.77444,0.77691,0.0024699999999999722,0.31894013738959404
NCL,campus_143,loss2,Top 20,NDCG,0.59835,0.59551,-0.0028400000000000647,-0.47463858945434356
NCL,campus_143,loss3,Top 3,Hit Ratio,0.48747,0.47636,-0.011110000000000009,-2.279114612181264
NCL,campus_143,loss3,Top 3,Precision,0.27807,0.27174,-0.006330000000000002,-2.2764052217067654
NCL,campus_143,loss3,Top 3,Recall,0.55441,0.5453,-0.009109999999999951,-1.6431882541801108
NCL,campus_143,loss3,Top 3,NDCG,0.51917,0.50961,-0.009560000000000013,-1.8414006972667936
NCL,campus_143,loss3,Top 5,Hit Ratio,0.57246,0.56549,-0.006969999999999921,-1.2175523180658774
NCL,campus_143,loss3,Top 5,Precision,0.19593,0.19355,-0.0023799999999999932,-1.2147195426938158
NCL,campus_143,loss3,Top 5,Recall,0.62514,0.61921,-0.005929999999999991,-0.9485875163963258
NCL,campus_143,loss3,Top 5,NDCG,0.54581,0.53804,-0.007770000000000055,-1.4235723053810034
NCL,campus_143,loss3,Top 10,Hit Ratio,0.67993,0.6776,-0.0023300000000000542,-0.34268233494625244
NCL,campus_143,loss3,Top 10,Precision,0.11636,0.11596,-0.00040000000000001146,-0.3437607425232137
NCL,campus_143,loss3,Top 10,Recall,0.71118,0.70715,-0.004030000000000089,-0.5666638544391137
NCL,campus_143,loss3,Top 10,NDCG,0.57824,0.57157,-0.006669999999999954,-1.1535002767017075
NCL,campus_143,loss3,Top 20,Hit Ratio,0.76595,0.76414,-0.0018099999999999783,-0.23630785299301238
NCL,campus_143,loss3,Top 20,Precision,0.06554,0.06538,-0.00016000000000000736,-0.24412572474825658
NCL,campus_143,loss3,Top 20,Recall,0.77444,0.77473,0.00029000000000001247,0.037446412891897686
NCL,campus_143,loss3,Top 20,NDCG,0.59835,0.59244,-0.005910000000000082,-0.9877162196039244
NCL,campus_143,loss4,Top 3,Hit Ratio,0.48747,0.48024,-0.007230000000000014,-1.4831681949658468
NCL,campus_143,loss4,Top 3,Precision,0.27807,0.27395,-0.004119999999999957,-1.4816413133383528
NCL,campus_143,loss4,Top 3,Recall,0.55441,0.54818,-0.006229999999999958,-1.1237171046698218
NCL,campus_143,loss4,Top 3,NDCG,0.51917,0.51324,-0.005929999999999991,-1.1422077546853613
NCL,campus_143,loss4,Top 5,Hit Ratio,0.57246,0.5642,-0.008259999999999934,-1.4428955734898394
NCL,campus_143,loss4,Top 5,Precision,0.19593,0.1931,-0.002829999999999999,-1.4443934058081964
NCL,campus_143,loss4,Top 5,Recall,0.62514,0.61956,-0.005580000000000029,-0.8926000575871053
NCL,campus_143,loss4,Top 5,NDCG,0.54581,0.54009,-0.005720000000000058,-1.0479837306022348
NCL,campus_143,loss4,Top 10,Hit Ratio,0.67993,0.67941,-0.000520000000000076,-0.07647846101805715
NCL,campus_143,loss4,Top 10,Precision,0.11636,0.11627,-9.000000000000674e-05,-0.07734616706772665
NCL,campus_143,loss4,Top 10,Recall,0.71118,0.70896,-0.0022199999999999998,-0.31215725976546016
NCL,campus_143,loss4,Top 10,NDCG,0.57824,0.5745,-0.0037399999999999656,-0.6467902600996066
NCL,campus_143,loss4,Top 20,Hit Ratio,0.76595,0.76569,-0.000260000000000038,-0.033944774463090015
NCL,campus_143,loss4,Top 20,Precision,0.06554,0.06552,-2.0000000000006124e-05,-0.030515715593540015
NCL,campus_143,loss4,Top 20,Recall,0.77444,0.77529,0.0008500000000000174,0.10975672744176661
NCL,campus_143,loss4,Top 20,NDCG,0.59835,0.59525,-0.0031000000000001027,-0.5180914180663663
NCL,campus_143,loss5,Top 3,Hit Ratio,0.48747,0.47972,-0.007750000000000035,-1.5898414261390517
NCL,campus_143,loss5,Top 3,Precision,0.27807,0.27365,-0.0044199999999999795,-1.5895278167367854
NCL,campus_143,loss5,Top 3,Recall,0.55441,0.55003,-0.0043799999999999395,-0.7900290398802221
NCL,campus_143,loss5,Top 3,NDCG,0.51917,0.51215,-0.007020000000000026,-1.352158252595494
NCL,campus_143,loss5,Top 5,Hit Ratio,0.57246,0.56497,-0.007489999999999997,-1.308388359011983
NCL,campus_143,loss5,Top 5,Precision,0.19593,0.19337,-0.0025600000000000067,-1.3065890879395736
NCL,campus_143,loss5,Top 5,Recall,0.62514,0.61979,-0.005350000000000077,-0.8558082989410495
NCL,campus_143,loss5,Top 5,NDCG,0.54581,0.53906,-0.006750000000000034,-1.2366940876861974
NCL,campus_143,loss5,Top 10,Hit Ratio,0.67993,0.6745,-0.005430000000000046,-0.7986116217846022
NCL,campus_143,loss5,Top 10,Precision,0.11636,0.11543,-0.0009300000000000003,-0.7992437263664491
NCL,campus_143,loss5,Top 10,Recall,0.71118,0.70394,-0.007240000000000024,-1.0180263786945674
NCL,campus_143,loss5,Top 10,NDCG,0.57824,0.57161,-0.006630000000000025,-1.146582733812954
NCL,campus_143,loss5,Top 20,Hit Ratio,0.76595,0.76492,-0.0010299999999999754,-0.13447352960375683
NCL,campus_143,loss5,Top 20,Precision,0.06554,0.06545,-9.000000000000674e-05,-0.13732072017089827
NCL,campus_143,loss5,Top 20,Recall,0.77444,0.77239,-0.0020499999999999963,-0.26470740147719596
NCL,campus_143,loss5,Top 20,NDCG,0.59835,0.59321,-0.005140000000000033,-0.8590289964067908
SGL,campus_143,loss1,Top 3,Hit Ratio,0.50969,0.50581,-0.0038799999999999946,-0.761247032509956
SGL,campus_143,loss1,Top 3,Precision,0.29075,0.28854,-0.0022099999999999898,-0.7601031814273396
SGL,campus_143,loss1,Top 3,Recall,0.57432,0.57012,-0.0042000000000000925,-0.7312996239030667
SGL,campus_143,loss1,Top 3,NDCG,0.53319,0.53107,-0.0021200000000000108,-0.3976068568427785
SGL,campus_143,loss1,Top 5,Hit Ratio,0.60501,0.60837,0.0033599999999999186,0.5553627212773207
SGL,campus_143,loss1,Top 5,Precision,0.20707,0.20822,0.0011499999999999844,0.5553677500362121
SGL,campus_143,loss1,Top 5,Recall,0.65244,0.65794,0.005499999999999949,0.8429893936607119
SGL,campus_143,loss1,Top 5,NDCG,0.56346,0.56568,0.0022199999999999998,0.3939942498136514
SGL,campus_143,loss1,Top 10,Hit Ratio,0.70473,0.71093,0.006199999999999983,0.8797695571353545
SGL,campus_143,loss1,Top 10,Precision,0.1206,0.12166,0.0010600000000000054,0.8789386401326744
SGL,campus_143,loss1,Top 10,Recall,0.72823,0.73178,0.003549999999999942,0.4874833500405012
SGL,campus_143,loss1,Top 10,NDCG,0.59241,0.59456,0.0021499999999999853,0.3629243260579641
SGL,campus_143,loss1,Top 20,Hit Ratio,0.76983,0.77396,0.004129999999999967,0.5364820804593179
SGL,campus_143,loss1,Top 20,Precision,0.06587,0.06622,0.0003500000000000031,0.5313496280552651
SGL,campus_143,loss1,Top 20,Recall,0.77218,0.7747,0.0025200000000000777,0.32634877878215934
SGL,campus_143,loss1,Top 20,NDCG,0.60674,0.60853,0.0017900000000000693,0.2950192833833387
SGL,campus_143,loss2,Top 3,Hit Ratio,0.50969,0.51098,0.0012900000000000134,0.2530950185406842
SGL,campus_143,loss2,Top 3,Precision,0.29075,0.29148,0.0007300000000000084,0.2510748065348266
SGL,campus_143,loss2,Top 3,Recall,0.57432,0.57641,0.0020899999999999253,0.3639086223707907
SGL,campus_143,loss2,Top 3,NDCG,0.53319,0.53608,0.002889999999999948,0.5420206680545299
SGL,campus_143,loss2,Top 5,Hit Ratio,0.60501,0.60604,0.0010299999999999754,0.17024511991536923
SGL,campus_143,loss2,Top 5,Precision,0.20707,0.20743,0.0003599999999999992,0.17385425218525097
SGL,campus_143,loss2,Top 5,Recall,0.65244,0.65193,-0.0005100000000000104,-0.07816810741217743
SGL,campus_143,loss2,Top 5,NDCG,0.56346,0.56531,0.0018500000000000183,0.3283285415113794
SGL,campus_143,loss2,Top 10,Hit Ratio,0.70473,0.70757,0.0028400000000000647,0.4029912164942694
SGL,campus_143,loss2,Top 10,Precision,0.1206,0.12109,0.0004900000000000043,0.40630182421227556
SGL,campus_143,loss2,Top 10,Recall,0.72823,0.73115,0.0029199999999999227,0.4009722203149997
SGL,campus_143,loss2,Top 10,NDCG,0.59241,0.59553,0.0031200000000000117,0.5266622778143535
SGL,campus_143,loss2,Top 20,Hit Ratio,0.76983,0.77422,0.004390000000000005,0.5702557707545828
SGL,campus_143,loss2,Top 20,Precision,0.06587,0.06625,0.00038000000000000533,0.5768938818885765
SGL,campus_143,loss2,Top 20,Recall,0.77218,0.77599,0.00380999999999998,0.49340827268253257
SGL,campus_143,loss2,Top 20,NDCG,0.60674,0.61023,0.003490000000000104,0.5752051949764486
SGL,campus_143,loss3,Top 3,Hit Ratio,0.50969,0.50943,-0.00025999999999992696,-0.05101139908570444
SGL,campus_143,loss3,Top 3,Precision,0.29075,0.2906,-0.00014999999999998348,-0.051590713671533436
SGL,campus_143,loss3,Top 3,Recall,0.57432,0.57306,-0.0012600000000000389,-0.21938988717092192
SGL,campus_143,loss3,Top 3,NDCG,0.53319,0.53351,0.00031999999999998696,0.06001612933475627
SGL,campus_143,loss3,Top 5,Hit Ratio,0.60501,0.60372,-0.0012900000000000134,-0.21321961620469304
SGL,campus_143,loss3,Top 5,Precision,0.20707,0.20663,-0.00043999999999999595,-0.2124885304486386
SGL,campus_143,loss3,Top 5,Recall,0.65244,0.65414,0.0017000000000000348,0.26056035804059147
SGL,campus_143,loss3,Top 5,NDCG,0.56346,0.56451,0.0010499999999999954,0.1863486316686181
