Model,Campus,Loss,TopK,Metric,Baseline(loss0),Value,AbsDiff,RelDiff(%)
NCL,campus_10,loss1,Top 3,Hit Ratio,0.22011,0.21249,-0.007619999999999988,-3.4619054109308927
NCL,campus_10,loss1,Top 3,Precision,0.27222,0.26281,-0.00941000000000003,-3.4567629123503156
NCL,campus_10,loss1,Top 3,Recall,0.29642,0.28609,-0.010330000000000006,-3.484920045880847
NCL,campus_10,loss1,Top 3,NDCG,0.35521,0.34129,-0.013920000000000043,-3.9188085921004596
NCL,campus_10,loss1,Top 5,Hit Ratio,0.30631,0.29631,-0.010000000000000009,-3.2646665143155653
NCL,campus_10,loss1,Top 5,Precision,0.22731,0.21988,-0.00743000000000002,-3.2686639391139938
NCL,campus_10,loss1,Top 5,Recall,0.38584,0.37741,-0.008429999999999993,-2.1848434584283623
NCL,campus_10,loss1,Top 5,NDCG,0.37711,0.36446,-0.012649999999999995,-3.3544589111930194
NCL,campus_10,loss1,Top 10,Hit Ratio,0.44439,0.43783,-0.00656000000000001,-1.476180832151941
NCL,campus_10,loss1,Top 10,Precision,0.16489,0.16245,-0.0024399999999999977,-1.479774395051245
NCL,campus_10,loss1,Top 10,Recall,0.50779,0.50419,-0.0035999999999999366,-0.7089544890604259
NCL,campus_10,loss1,Top 10,NDCG,0.41423,0.4047,-0.009529999999999983,-2.300654225913136
NCL,campus_10,loss1,Top 20,Hit Ratio,0.59098,0.58546,-0.005519999999999969,-0.9340417611425039
NCL,campus_10,loss1,Top 20,Precision,0.10964,0.10861,-0.0010300000000000031,-0.9394381612550193
NCL,campus_10,loss1,Top 20,Recall,0.61893,0.61822,-0.0007099999999999884,-0.11471410337194649
NCL,campus_10,loss1,Top 20,NDCG,0.45381,0.44513,-0.008679999999999966,-1.9126947400894574
NCL,campus_10,loss2,Top 3,Hit Ratio,0.22011,0.21891,-0.0012000000000000066,-0.5451819544773098
NCL,campus_10,loss2,Top 3,Precision,0.27222,0.27075,-0.0014700000000000268,-0.5400044081992604
NCL,campus_10,loss2,Top 3,Recall,0.29642,0.2944,-0.0020200000000000218,-0.6814654881587011
NCL,campus_10,loss2,Top 3,NDCG,0.35521,0.35422,-0.0009900000000000464,-0.2787083696968121
NCL,campus_10,loss2,Top 5,Hit Ratio,0.30631,0.30236,-0.003950000000000009,-1.2895432731546501
NCL,campus_10,loss2,Top 5,Precision,0.22731,0.22437,-0.002939999999999998,-1.2933878843869597
NCL,campus_10,loss2,Top 5,Recall,0.38584,0.3808,-0.005039999999999989,-1.3062409288824355
NCL,campus_10,loss2,Top 5,NDCG,0.37711,0.37414,-0.002970000000000028,-0.7875686139322818
NCL,campus_10,loss2,Top 10,Hit Ratio,0.44439,0.44283,-0.0015600000000000058,-0.35104300276784034
NCL,campus_10,loss2,Top 10,Precision,0.16489,0.1643,-0.0005900000000000072,-0.3578143004427237
NCL,campus_10,loss2,Top 10,Recall,0.50779,0.50536,-0.002429999999999932,-0.4785442801157826
NCL,campus_10,loss2,Top 10,NDCG,0.41423,0.41282,-0.0014099999999999668,-0.3403906042536675
NCL,campus_10,loss2,Top 20,Hit Ratio,0.59098,0.58949,-0.0014899999999999913,-0.2521235913228859
NCL,campus_10,loss2,Top 20,Precision,0.10964,0.10936,-0.00028000000000000247,-0.2553812477198126
NCL,campus_10,loss2,Top 20,Recall,0.61893,0.61755,-0.0013799999999999368,-0.22296544035673452
