Model,Campus,Loss,TopK,Metric,Baseline(loss0),Value,AbsDiff,RelDiff(%)
SGL,campus_102,loss2,Top 20,NDCG,0.42831,0.43098,0.00266999999999995,0.6233802619597838
SGL,campus_102,loss3,Top 3,Hit Ratio,0.22122,0.22189,0.0006700000000000039,0.30286592532320944
SGL,campus_102,loss3,Top 3,Precision,0.24327,0.244,0.0007300000000000084,0.3000781025198374
SGL,campus_102,loss3,Top 3,Recall,0.29022,0.29073,0.0005100000000000104,0.17572875749431827
SGL,campus_102,loss3,Top 3,NDCG,0.33024,0.33065,0.00041000000000002146,0.12415213178295224
SGL,campus_102,loss3,Top 5,Hit Ratio,0.30217,0.30188,-0.00029000000000001247,-0.09597246583049689
SGL,campus_102,loss3,Top 5,Precision,0.19937,0.19918,-0.00018999999999999573,-0.09530019561618885
SGL,campus_102,loss3,Top 5,Recall,0.37411,0.37285,-0.0012599999999999834,-0.3367993370933638
SGL,campus_102,loss3,Top 5,NDCG,0.35072,0.35033,-0.00039000000000000146,-0.1111998175182486
SGL,campus_102,loss3,Top 10,Hit Ratio,0.43221,0.43584,0.003630000000000022,0.83986950787812
SGL,campus_102,loss3,Top 10,Precision,0.14258,0.14378,0.0011999999999999789,0.841632767569069
SGL,campus_102,loss3,Top 10,Recall,0.49189,0.49505,0.003159999999999996,0.6424200532639404
SGL,campus_102,loss3,Top 10,NDCG,0.39198,0.3934,0.0014200000000000323,0.3622633807847422
SGL,campus_102,loss3,Top 20,Hit Ratio,0.55794,0.56416,0.006220000000000003,1.1148152131053524
SGL,campus_102,loss3,Top 20,Precision,0.09203,0.09306,0.0010300000000000031,1.1192002607845302
SGL,campus_102,loss3,Top 20,Recall,0.58984,0.60395,0.014109999999999956,2.392174148921734
SGL,campus_102,loss3,Top 20,NDCG,0.42831,0.43212,0.00380999999999998,0.8895426209988045
SGL,campus_102,loss4,Top 3,Hit Ratio,0.22122,0.20917,-0.012050000000000005,-5.447066268872618
SGL,campus_102,loss4,Top 3,Precision,0.24327,0.23001,-0.013259999999999994,-5.450733752620543
SGL,campus_102,loss4,Top 3,Recall,0.29022,0.27516,-0.015059999999999962,-5.18916683894975
SGL,campus_102,loss4,Top 3,NDCG,0.33024,0.3129,-0.017339999999999967,-5.250726744186037
SGL,campus_102,loss4,Top 5,Hit Ratio,0.30217,0.28935,-0.012819999999999998,-4.242644868782473
SGL,campus_102,loss4,Top 5,Precision,0.19937,0.19091,-0.008459999999999995,-4.243366604805134
SGL,campus_102,loss4,Top 5,Recall,0.37411,0.36295,-0.011160000000000003,-2.9830798428269767
SGL,campus_102,loss4,Top 5,NDCG,0.35072,0.33612,-0.014600000000000002,-4.162864963503651
SGL,campus_102,loss4,Top 10,Hit Ratio,0.43221,0.41948,-0.012729999999999964,-2.945327502834262
SGL,campus_102,loss4,Top 10,Precision,0.14258,0.13838,-0.004200000000000009,-2.9457146864918
SGL,campus_102,loss4,Top 10,Recall,0.49189,0.4841,-0.007790000000000019,-1.5836874097867448
SGL,campus_102,loss4,Top 10,NDCG,0.39198,0.37902,-0.012959999999999972,-3.3062911373029165
SGL,campus_102,loss4,Top 20,Hit Ratio,0.55794,0.54703,-0.010909999999999975,-1.9554073914757817
SGL,campus_102,loss4,Top 20,Precision,0.09203,0.09023,-0.001799999999999996,-1.9558839508855765
SGL,campus_102,loss4,Top 20,Recall,0.58984,0.58719,-0.002650000000000041,-0.4492743794927508
SGL,campus_102,loss4,Top 20,NDCG,0.42831,0.41676,-0.011550000000000005,-2.696644953421588
SGL,campus_102,loss5,Top 3,Hit Ratio,0.22122,0.22141,0.00018999999999999573,0.08588735195732562
SGL,campus_102,loss5,Top 3,Precision,0.24327,0.24348,0.00021000000000001573,0.08632383771119156
SGL,campus_102,loss5,Top 3,Recall,0.29022,0.29065,0.00043000000000004146,0.14816346220110313
SGL,campus_102,loss5,Top 3,NDCG,0.33024,0.33145,0.0012100000000000444,0.36640019379846306
SGL,campus_102,loss5,Top 5,Hit Ratio,0.30217,0.30265,0.00047999999999998044,0.15885097792632638
SGL,campus_102,loss5,Top 5,Precision,0.19937,0.19968,0.0003100000000000047,0.15548979284747189
SGL,campus_102,loss5,Top 5,Recall,0.37411,0.37172,-0.0023900000000000032,-0.6388495362326597
SGL,campus_102,loss5,Top 5,NDCG,0.35072,0.35088,0.000160000000000049,0.045620437956218354
SGL,campus_102,loss5,Top 10,Hit Ratio,0.43221,0.43441,0.0022000000000000353,0.5090118229564413
SGL,campus_102,loss5,Top 10,Precision,0.14258,0.14331,0.0007299999999999807,0.5119932669378459
SGL,campus_102,loss5,Top 10,Recall,0.49189,0.49283,0.0009399999999999964,0.19109963609750075
SGL,campus_102,loss5,Top 10,NDCG,0.39198,0.39301,0.0010300000000000309,0.26276850859738526
SGL,campus_102,loss5,Top 20,Hit Ratio,0.55794,0.561,0.0030600000000000627,0.5484460694698468
SGL,campus_102,loss5,Top 20,Precision,0.09203,0.09253,0.0005000000000000004,0.5433010974682174
SGL,campus_102,loss5,Top 20,Recall,0.58984,0.59953,0.009689999999999976,1.6428183914281798
SGL,campus_102,loss5,Top 20,NDCG,0.42831,0.43114,0.002829999999999999,0.6607363825266743
SGL,campus_143,loss1,Top 3,Hit Ratio,0.50736,0.49755,-0.009810000000000041,-1.933538315988655
SGL,campus_143,loss1,Top 3,Precision,0.28942,0.28382,-0.005599999999999994,-1.9349042913413013
SGL,campus_143,loss1,Top 3,Recall,0.57212,0.56413,-0.007989999999999942,-1.3965601622037234
SGL,campus_143,loss1,Top 3,NDCG,0.53445,0.52088,-0.013569999999999971,-2.5390588455421406
SGL,campus_143,loss1,Top 5,Hit Ratio,0.60269,0.59804,-0.004649999999999932,-0.771540924853562
SGL,campus_143,loss1,Top 5,Precision,0.20628,0.20469,-0.0015899999999999803,-0.7707969749854471
SGL,campus_143,loss1,Top 5,Recall,0.6525,0.647,-0.005499999999999949,-0.8429118773946284
SGL,campus_143,loss1,Top 5,NDCG,0.56529,0.55379,-0.011499999999999955,-2.0343540483645484
SGL,campus_143,loss1,Top 10,Hit Ratio,0.70318,0.70576,0.0025800000000000267,0.36690463323758166
SGL,campus_143,loss1,Top 10,Precision,0.12034,0.12078,0.00043999999999999595,0.3656307129798869
SGL,campus_143,loss1,Top 10,Recall,0.72602,0.73065,0.004630000000000023,0.6377234786920503
SGL,campus_143,loss1,Top 10,NDCG,0.59401,0.58555,-0.008460000000000023,-1.4242184475008877
SGL,campus_143,loss1,Top 20,Hit Ratio,0.77422,0.76957,-0.004650000000000043,-0.6006044793469612
SGL,campus_143,loss1,Top 20,Precision,0.06625,0.06585,-0.0003999999999999976,-0.6037735849056567
SGL,campus_143,loss1,Top 20,Recall,0.78312,0.77682,-0.006300000000000083,-0.80447441005211
SGL,campus_143,loss1,Top 20,NDCG,0.61107,0.60017,-0.01090000000000002,-1.783756361791615
SGL,campus_143,loss2,Top 3,Hit Ratio,0.50736,0.49186,-0.015500000000000014,-3.0550299590034715
SGL,campus_143,loss2,Top 3,Precision,0.28942,0.28058,-0.008840000000000015,-3.054384631331634
SGL,campus_143,loss2,Top 3,Recall,0.57212,0.56026,-0.011859999999999982,-2.072991680067116
SGL,campus_143,loss2,Top 3,NDCG,0.53445,0.51681,-0.01763999999999999,-3.3005893909626702
SGL,campus_143,loss2,Top 5,Hit Ratio,0.60269,0.5952,-0.007489999999999997,-1.2427616187426367
SGL,campus_143,loss2,Top 5,Precision,0.20628,0.20371,-0.002569999999999989,-1.2458793872406384
SGL,campus_143,loss2,Top 5,Recall,0.6525,0.64421,-0.00829000000000002,-1.2704980842911908
SGL,campus_143,loss2,Top 5,NDCG,0.56529,0.55099,-0.01429999999999998,-2.5296750340533145
SGL,campus_143,loss2,Top 10,Hit Ratio,0.70318,0.71119,0.008009999999999962,1.139110896214335
SGL,campus_143,loss2,Top 10,Precision,0.12034,0.12171,0.0013699999999999962,1.1384410835964733
SGL,campus_143,loss2,Top 10,Recall,0.72602,0.7351,0.009079999999999977,1.250654251948979
SGL,campus_143,loss2,Top 10,NDCG,0.59401,0.5859,-0.008110000000000062,-1.3652968805239072
SGL,campus_143,loss2,Top 20,Hit Ratio,0.77422,0.77215,-0.0020700000000000163,-0.2673658649996146
SGL,campus_143,loss2,Top 20,Precision,0.06625,0.06607,-0.0001799999999999996,-0.27169811320754655
SGL,campus_143,loss2,Top 20,Recall,0.78312,0.78111,-0.0020100000000000673,-0.25666564511186885
SGL,campus_143,loss2,Top 20,NDCG,0.61107,0.6003,-0.010770000000000057,-1.7624822033482348
SGL,campus_143,loss3,Top 3,Hit Ratio,0.50736,0.50969,0.0023299999999999432,0.4592399873856715
SGL,campus_143,loss3,Top 3,Precision,0.28942,0.29075,0.0013299999999999979,0.4595397691935588
SGL,campus_143,loss3,Top 3,Recall,0.57212,0.57726,0.005140000000000033,0.8984129203663627
SGL,campus_143,loss3,Top 3,NDCG,0.53445,0.53456,0.0001100000000000545,0.02058190663299738
SGL,campus_143,loss3,Top 5,Hit Ratio,0.60269,0.60449,0.0018000000000000238,0.298661003169129
SGL,campus_143,loss3,Top 5,Precision,0.20628,0.2069,0.0006200000000000094,0.3005623424471638
SGL,campus_143,loss3,Top 5,Recall,0.6525,0.65379,0.0012900000000000134,0.1977011494252894
SGL,campus_143,loss3,Top 5,NDCG,0.56529,0.5645,-0.0007899999999999574,-0.1397512781050359
SGL,campus_143,loss3,Top 10,Hit Ratio,0.70318,0.70989,0.006709999999999994,0.9542364686140097
SGL,campus_143,loss3,Top 10,Precision,0.12034,0.12149,0.0011499999999999982,0.95562572710653
SGL,campus_143,loss3,Top 10,Recall,0.72602,0.7333,0.007279999999999953,1.002727197597856
SGL,campus_143,loss3,Top 10,NDCG,0.59401,0.59528,0.0012699999999999934,0.21380111445935143
SGL,campus_143,loss3,Top 20,Hit Ratio,0.77422,0.77189,-0.0023300000000000542,-0.3009480509415998
SGL,campus_143,loss3,Top 20,Precision,0.06625,0.06605,-0.00020000000000000573,-0.3018867924528388
SGL,campus_143,loss3,Top 20,Recall,0.78312,0.78181,-0.0013100000000000334,-0.16727959955052013
SGL,campus_143,loss3,Top 20,NDCG,0.61107,0.61018,-0.0008900000000000574,-0.1456461616508841
SGL,campus_143,loss4,Top 3,Hit Ratio,0.50736,0.48256,-0.024800000000000044,-4.8880479344055585
SGL,campus_143,loss4,Top 3,Precision,0.28942,0.27527,-0.014149999999999996,-4.889088521871328
SGL,campus_143,loss4,Top 3,Recall,0.57212,0.55007,-0.022050000000000014,-3.8540865552681285
SGL,campus_143,loss4,Top 3,NDCG,0.53445,0.50485,-0.02959999999999996,-5.538403966694726
SGL,campus_143,loss4,Top 5,Hit Ratio,0.60269,0.58667,-0.016019999999999923,-2.6580829282052005
SGL,campus_143,loss4,Top 5,Precision,0.20628,0.2008,-0.005479999999999985,-2.656583284855529
SGL,campus_143,loss4,Top 5,Recall,0.6525,0.64019,-0.012309999999999932,-1.8865900383141658
SGL,campus_143,loss4,Top 5,NDCG,0.56529,0.54131,-0.02398,-4.2420704417201796
SGL,campus_143,loss4,Top 10,Hit Ratio,0.70318,0.69775,-0.005430000000000046,-0.7722062629767692
SGL,campus_143,loss4,Top 10,Precision,0.12034,0.11941,-0.0009300000000000003,-0.7728103706165865
SGL,campus_143,loss4,Top 10,Recall,0.72602,0.72324,-0.0027800000000000047,-0.38290956172006346
SGL,campus_143,loss4,Top 10,NDCG,0.59401,0.57352,-0.020490000000000008,-3.449436878167035
SGL,campus_143,loss4,Top 20,Hit Ratio,0.77422,0.75743,-0.01678999999999997,-2.1686342383301866
SGL,campus_143,loss4,Top 20,Precision,0.06625,0.06481,-0.0014399999999999968,-2.1735849056603724
SGL,campus_143,loss4,Top 20,Recall,0.78312,0.76524,-0.017880000000000007,-2.2831749923383398
SGL,campus_143,loss4,Top 20,NDCG,0.61107,0.58706,-0.024009999999999976,-3.929173417120784
SGL,campus_143,loss5,Top 3,Hit Ratio,0.50736,0.50685,-0.0005100000000000104,-0.1005203405865678
SGL,campus_143,loss5,Top 3,Precision,0.28942,0.28912,-0.00030000000000002247,-0.10365558703614901
SGL,campus_143,loss5,Top 3,Recall,0.57212,0.5708,-0.0013199999999999878,-0.23072082779836187
SGL,campus_143,loss5,Top 3,NDCG,0.53445,0.53103,-0.0034199999999999786,-0.6399101880437794
SGL,campus_143,loss5,Top 5,Hit Ratio,0.60269,0.60734,0.004650000000000043,0.7715409248535804
SGL,campus_143,loss5,Top 5,Precision,0.20628,0.20787,0.001590000000000008,0.7707969749854606
SGL,campus_143,loss5,Top 5,Recall,0.6525,0.65463,0.0021300000000000763,0.3264367816092071
SGL,campus_143,loss5,Top 5,NDCG,0.56529,0.56366,-0.0016299999999999093,-0.2883475738116559
SGL,campus_143,loss5,Top 10,Hit Ratio,0.70318,0.70705,0.003869999999999929,0.5503569498563567
SGL,campus_143,loss5,Top 10,Precision,0.12034,0.121,0.0006599999999999939,0.5484460694698304
SGL,campus_143,loss5,Top 10,Recall,0.72602,0.72938,0.0033600000000000296,0.4627971681220944
SGL,campus_143,loss5,Top 10,NDCG,0.59401,0.59217,-0.0018400000000000638,-0.30975909496474197
SGL,campus_143,loss5,Top 20,Hit Ratio,0.77422,0.76931,-0.00490999999999997,-0.6341866652889321
SGL,campus_143,loss5,Top 20,Precision,0.06625,0.06583,-0.0004200000000000037,-0.6339622641509489
SGL,campus_143,loss5,Top 20,Recall,0.78312,0.77719,-0.005929999999999991,-0.7572275002553875
SGL,campus_143,loss5,Top 20,NDCG,0.61107,0.60698,-0.004090000000000038,-0.6693177541034641
SGL,campus_15,loss1,Top 3,Hit Ratio,0.14983,0.14368,-0.006149999999999989,-4.104651938864039
SGL,campus_15,loss1,Top 3,Precision,0.24199,0.23206,-0.009930000000000022,-4.1034753502210926
SGL,campus_15,loss1,Top 3,Recall,0.24453,0.2352,-0.009330000000000005,-3.8154827628511865
SGL,campus_15,loss1,Top 3,NDCG,0.32358,0.30901,-0.014569999999999972,-4.502750479016
SGL,campus_15,loss1,Top 5,Hit Ratio,0.21593,0.20729,-0.008640000000000009,-4.0012967165285085
SGL,campus_15,loss1,Top 5,Precision,0.20925,0.20087,-0.008379999999999999,-4.004778972520907
SGL,campus_15,loss1,Top 5,Recall,0.31277,0.30229,-0.01047999999999999,-3.35070499088787
SGL,campus_15,loss1,Top 5,NDCG,0.34063,0.32586,-0.014770000000000005,-4.336083140064001
SGL,campus_15,loss1,Top 10,Hit Ratio,0.3479,0.33523,-0.012670000000000015,-3.6418511066398436
SGL,campus_15,loss1,Top 10,Precision,0.16857,0.16243,-0.0061400000000000066,-3.642403749184319
SGL,campus_15,loss1,Top 10,Recall,0.42549,0.41259,-0.012899999999999967,-3.0317986321652604
SGL,campus_15,loss1,Top 10,NDCG,0.36612,0.35156,-0.014560000000000017,-3.976838195127285
